game_id,season,game_type,week,gameday,away_team,away_score,home_team,home_score,home_win,home_completions_ewma,home_passing_yards_ewma,home_passing_tds_ewma,home_rushing_yards_ewma,home_sacks_suffered_ewma,home_rushing_tds_ewma,home_completion_pct_ewma,home_turnovers_offense_ewma,home_turnovers_defense_ewma,home_turnover_margin_ewma,home_def_tackles_for_loss_ewma,home_penalty_yards_ewma,home_fg_pct_ewma,home_pat_pct_ewma,away_completions_ewma,away_passing_yards_ewma,away_passing_tds_ewma,away_rushing_yards_ewma,away_sacks_suffered_ewma,away_rushing_tds_ewma,away_completion_pct_ewma,away_turnovers_offense_ewma,away_turnovers_defense_ewma,away_turnover_margin_ewma,away_def_tackles_for_loss_ewma,away_penalty_yards_ewma,away_fg_pct_ewma,away_pat_pct_ewma
2021_03_ATL_NYG,2021,REG,3,2021-09-26,ATL,17.0,NYG,14.0,0,22.8,262.28000000000003,0.6,100.72,2.48,1.0,0.6533397683397684,0.76,0.24,-0.52,3.28,57.92,1.0,1.0,26.759999999999998,228.24,1.28,85.44,2.52,0.24,0.691,1.12,0.0,-1.12,3.48,58.6,1.0,1.0
2021_03_CIN_PIT,2021,REG,3,2021-09-26,CIN,24.0,PIT,10.0,0,28.16,265.68,1.0,54.36,2.8,0.24,0.6265689655172414,1.04,0.4,-0.64,3.1599999999999997,51.04,0.8,1.0,17.36,212.44,2.4000000000000004,108.60000000000001,3.0,0.36,0.7297777777777777,1.36,1.04,-0.32000000000000006,5.24,54.68,1.0,1.0
2021_03_IND_TEN,2021,REG,3,2021-09-26,IND,16.0,TEN,25.0,1,21.6,240.56000000000003,1.56,153.84,3.28,1.08,0.6486666666666667,2.52,0.36,-2.16,2.24,40.919999999999995,0.5920000000000001,0.82,21.88,233.24,0.96,101.64,2.6,0.4,0.58891417733523,0.84,1.4400000000000002,0.6000000000000002,3.52,38.160000000000004,0.9,1.0
2021_03_NYJ_DEN,2021,REG,3,2021-09-26,NYJ,0.0,DEN,26.0,1,23.919999999999998,267.76,1.2,130.44,2.24,1.16,0.7675294117647059,0.76,1.28,0.52,4.92,62.6,1.0,1.0,19.36,207.27999999999997,0.72,69.88,5.12,0.0,0.54991926991927,2.12,0.0,-2.12,4.8,65.28,0.6666666666666666,0.0
2021_03_MIA_LV,2021,REG,3,2021-09-26,MIA,28.0,LV,31.0,1,29.36,402.68,2.0,98.0,2.7600000000000002,1.1199999999999999,0.6420535153093292,0.76,0.24,-0.52,2.72,73.52,1.0,0.8666666666666667,24.560000000000002,202.4,0.36,96.88,2.9600000000000004,1.16,0.610921459492888,0.84,1.12,0.28,2.32,57.2,0.8245614035087719,1.0
2021_03_TB_LA,2021,REG,3,2021-09-26,TB,24.0,LA,34.0,1,22.560000000000002,319.48,3.16,81.28,1.0,0.6,0.7131336032388663,0.48,0.84,0.36,3.92,18.159999999999997,1.0,1.0,33.68,375.48,3.04,52.4,1.9200000000000002,0.8,0.6885818181818182,1.68,1.08,-0.5999999999999999,2.24,74.48,0.736842105263158,0.9657142857142857
2021_03_SEA_MIN,2021,REG,3,2021-09-26,SEA,17.0,MIN,30.0,1,30.599999999999998,318.08000000000004,2.64,122.6,1.72,0.36,0.7471894736842105,0.36,0.48,0.12000000000000004,4.92,61.6,0.92,0.9400000000000001,20.96,292.96000000000004,2.32,111.28,2.6,0.88,0.739561711079944,0.36,0.0,-0.36,2.56,57.08,0.8,0.9400000000000001
2021_03_GB_SF,2021,REG,3,2021-09-26,GB,30.0,SF,28.0,0,21.76,263.0,1.76,102.04,1.96,1.76,0.6752307692307692,1.52,0.36,-1.16,4.88,77.24,0.7999999999999999,1.0,21.68,237.96,1.76,78.52,1.84,0.64,0.68005772005772,1.0799999999999998,0.64,-0.4399999999999999,0.8,58.68,1.0,1.0
2021_03_PHI_DAL,2021,REG,3,2021-09-27,PHI,21.0,DAL,41.0,1,29.04,297.16,2.2800000000000002,133.12,2.44,1.28,0.7882110226937813,1.0,2.0,1.0,2.64,52.839999999999996,0.76,0.8133333333333334,22.599999999999998,271.04,1.88,124.11999999999999,1.64,0.6,0.6541245421245422,0.8,0.0,-0.8,4.64,80.12,0.8,1.0
2021_04_JAX_CIN,2021,REG,4,2021-09-30,JAX,21.0,CIN,24.0,1,20.416,266.664,2.24,96.36,2.2,0.616,0.7503666666666666,0.8160000000000001,0.624,-0.19200000000000003,3.944,48.008,0.8,1.0,20.144,222.864,1.032,120.976,1.4800000000000002,1.4400000000000002,0.618306595365419,1.896,0.24,-1.6560000000000001,2.528,41.391999999999996,0.0,0.84
